,City,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country
139,nanortalik,60.14,-45.24,20.03,71.0,0.0,21.32,GL
140,itatiba,-23.01,-46.84,78.8,47.0,24.0,9.17,BR
141,karratha,-20.74,116.85,84.7,76.0,25.0,10.42,AU
142,vysokopillya,47.49,33.53,26.6,100.0,90.0,4.76,UA
143,lodwar,3.12,35.6,84.02,52.0,100.0,9.15,KE
144,kodiak,57.79,-152.41,17.6,61.0,75.0,8.05,US
145,college,64.86,-147.8,-22.0,74.0,75.0,3.02,US
146,taywarah,33.35,64.42,0.54,77.0,0.0,7.58,AF
147,namibe,-15.2,12.15,76.21,80.0,100.0,5.73,AO
148,pisco,-13.7,-76.22,71.6,88.0,40.0,12.75,PE
149,santa catarina de tepehuanes,25.35,-105.73,47.59,54.0,0.0,8.79,MX
150,kaoma,-14.78,24.8,62.56,96.0,100.0,3.29,ZM
151,carnarvon,-24.87,113.63,80.6,100.0,40.0,14.99,AU
152,kapaa,22.08,-159.32,80.6,65.0,1.0,8.05,US
154,mumford,5.26,-0.76,74.39,95.0,15.0,2.19,GH
155,turukhansk,65.82,87.98,13.17,91.0,100.0,15.5,RU
156,zhangye,38.93,100.45,28.13,36.0,6.0,1.97,CN
157,sembakung,3.82,117.25,87.44,65.0,8.0,3.04,ID
158,avarua,-21.21,-159.78,77.0,94.0,100.0,4.7,CK
159,warrington,53.39,-2.58,39.2,93.0,75.0,6.93,GB
160,mackay,-21.15,149.2,80.6,83.0,40.0,5.82,AU
163,edgewater,28.99,-80.9,66.2,67.0,90.0,2.53,US
164,saskylakh,71.92,114.08,-23.1,95.0,7.0,4.27,RU
165,thompson,55.74,-97.86,10.4,92.0,90.0,3.36,CA
166,golden gate,26.19,-81.7,68.0,72.0,75.0,4.47,US
167,hithadhoo,-0.6,73.08,81.55,79.0,100.0,15.03,MV
168,pandamatenga,-18.53,25.63,67.17,83.0,39.0,5.03,BW
169,karla,59.37,24.93,39.0,100.0,90.0,6.93,EE
170,lompoc,34.64,-120.46,62.6,44.0,1.0,6.93,US
172,gidole,5.65,37.37,66.24,82.0,75.0,2.01,ET
173,quatre cocos,-20.21,57.76,72.0,88.0,40.0,5.82,MU
174,provideniya,64.38,-173.3,-2.2,84.0,75.0,11.18,RU
175,gazojak,41.19,61.4,31.77,52.0,0.0,8.79,TM
176,hays,30.05,-98.03,62.6,87.0,1.0,6.93,US
177,bom jesus,-9.07,-44.36,70.63,93.0,93.0,1.45,BR
178,bethel,41.37,-73.41,42.8,87.0,90.0,13.87,US
179,antofagasta,-23.65,-70.4,72.0,88.0,90.0,10.29,CL
182,leningradskiy,69.38,178.42,-12.32,96.0,13.0,10.45,RU
183,ugoofaaru,5.67,73.0,81.12,70.0,13.0,8.46,MV
184,vila velha,-20.33,-40.29,75.2,94.0,75.0,4.05,BR
185,atambua,-9.11,124.89,84.06,70.0,94.0,5.53,ID
186,noumea,-22.28,166.46,89.6,52.0,0.0,8.05,NC
187,mandera,3.94,41.87,81.19,57.0,99.0,11.12,KE
188,cherskiy,68.75,161.3,-12.95,92.0,100.0,7.83,RU
189,esperance,-33.87,121.9,93.2,28.0,0.0,21.92,AU
190,harper,4.38,-7.72,76.64,90.0,16.0,1.52,LR
191,vanimo,-2.67,141.3,83.26,78.0,100.0,13.58,PG
192,lebu,-37.62,-73.65,59.47,86.0,88.0,6.62,CL
193,pendleton,45.67,-118.79,50.0,46.0,90.0,6.93,US
194,dingle,11.0,122.67,83.05,72.0,60.0,7.18,PH
195,anage,-14.61,-41.14,69.46,94.0,94.0,2.53,BR
197,erenhot,43.65,111.98,19.33,84.0,100.0,3.71,CN
198,vao,-22.67,167.48,77.68,81.0,68.0,16.04,NC
199,bonthe,7.53,-12.51,77.59,89.0,87.0,1.92,SL
201,lorengau,-2.02,147.27,84.33,78.0,97.0,12.57,PG
202,mercedes,-34.65,-59.43,69.01,53.0,0.0,9.73,AR
203,saint-leu,-21.15,55.28,69.8,68.0,8.0,9.17,RE
204,novoorsk,51.38,58.98,14.0,72.0,74.0,8.95,RU
205,nuuk,64.18,-51.72,12.2,78.0,90.0,4.7,GL
206,chumikan,54.72,135.31,10.49,80.0,92.0,4.0,RU
207,japura,-0.32,102.35,79.79,86.0,100.0,2.06,ID
208,saint-joseph,-21.37,55.62,69.8,68.0,1.0,9.17,RE
209,huarmey,-10.07,-78.15,70.84,77.0,100.0,4.29,PE
210,mandalgovi,45.76,106.27,5.65,77.0,0.0,3.96,MN
211,santiago,-33.46,-70.65,77.0,33.0,0.0,12.75,CL
212,chapais,49.78,-74.85,12.2,85.0,1.0,6.93,CA
214,rajakhera,26.9,78.17,57.9,67.0,0.0,11.52,IN
215,half moon bay,37.46,-122.43,57.2,87.0,1.0,4.7,US
216,tanout,14.97,8.89,59.4,11.0,17.0,9.86,NE
217,saravan,39.72,45.65,21.2,79.0,0.0,4.7,AM
218,coxim,-18.51,-54.76,78.28,58.0,17.0,4.85,BR
219,cabo san lucas,22.89,-109.91,71.6,68.0,40.0,6.93,MX
220,bad doberan,54.11,11.9,43.0,93.0,75.0,5.82,DE
221,henties bay,-22.12,14.28,62.01,91.0,12.0,3.96,NA
222,severo-kurilsk,50.68,156.12,28.47,88.0,100.0,7.25,RU
223,ponta do sol,32.67,-17.1,59.0,72.0,20.0,5.82,PT
224,port lincoln,-34.73,135.87,73.8,49.0,76.0,8.23,AU
225,egvekinot,66.32,-179.17,-9.81,89.0,0.0,6.49,RU
226,anadyr,64.75,177.48,3.2,84.0,75.0,6.71,RU
227,san,13.3,-4.9,71.08,9.0,69.0,10.29,ML
229,setermoen,68.86,18.35,15.8,66.0,100.0,18.34,NO
230,katsuura,35.13,140.3,43.0,100.0,75.0,18.34,JP
231,rocha,-34.48,-54.33,51.66,83.0,0.0,1.61,UY
232,uitenhage,-33.76,25.4,57.2,76.0,33.0,1.12,ZA
233,fortuna,40.6,-124.16,55.0,93.0,90.0,5.82,US
234,isnos,1.94,-76.24,60.93,94.0,94.0,2.75,CO
236,lazaro cardenas,17.96,-102.2,72.97,79.0,0.0,2.62,MX
237,geraldton,-28.77,114.6,82.4,61.0,0.0,11.41,AU
238,inhambane,-23.86,35.38,77.05,75.0,76.0,19.3,MZ
239,coquimbo,-29.95,-71.34,66.2,82.0,40.0,6.93,CL
240,guatire,10.48,-66.54,78.8,94.0,11.0,6.93,VE
241,hailey,43.52,-114.32,32.0,75.0,5.0,6.13,US
242,yulara,-25.24,130.99,98.6,13.0,0.0,17.22,AU
243,talnakh,69.49,88.4,6.8,77.0,75.0,17.9,RU
244,hermosillo,29.07,-110.97,72.0,49.0,0.0,4.0,MX
245,iqaluit,63.75,-68.51,1.4,84.0,90.0,8.05,CA
246,san quintin,30.48,-115.95,37.0,21.0,0.0,5.99,MX
247,luanda,-8.84,13.23,80.6,83.0,40.0,8.81,AO
249,veraval,20.9,70.37,65.44,75.0,65.0,7.36,IN
250,kuminskiy,58.67,66.57,-2.92,95.0,100.0,6.69,RU
251,seredka,58.16,28.19,35.6,93.0,100.0,2.24,RU
252,broome,42.25,-75.83,33.01,86.0,90.0,8.05,US
253,goundam,16.41,-3.67,70.79,9.0,78.0,8.86,ML
254,maxixe,-23.86,35.35,77.05,75.0,76.0,19.3,MZ
255,anju,39.62,125.66,38.61,58.0,99.0,4.09,KP
256,zyryanka,65.75,150.85,-22.27,92.0,97.0,3.47,RU
257,gamba,-2.65,10.0,76.82,87.0,28.0,1.63,GA
258,tena,-0.98,-77.82,61.86,86.0,100.0,5.23,EC
259,sobolevo,54.43,31.9,28.78,97.0,100.0,4.97,RU
260,hamilton,39.18,-84.53,34.0,82.0,90.0,3.91,US
261,terrace,54.52,-128.6,34.0,100.0,90.0,2.24,CA
262,lienz,46.83,12.77,30.0,83.0,100.0,8.52,AT
263,apatity,67.56,33.4,-1.98,87.0,25.0,1.19,RU
264,robertsport,6.75,-11.37,81.63,83.0,68.0,7.7,LR
265,high level,58.52,-117.14,15.8,92.0,90.0,3.36,CA
266,vrsac,45.12,21.3,41.0,100.0,40.0,6.93,RS
267,yeppoon,-23.13,150.73,86.0,62.0,75.0,12.75,AU
268,havoysund,71.0,24.66,8.6,71.0,14.0,13.87,NO
269,taoudenni,22.68,-3.98,66.97,22.0,0.0,10.09,ML
270,kupang,-10.17,123.58,84.2,83.0,40.0,6.93,ID
271,otavi,-19.65,17.33,67.5,69.0,86.0,0.78,NA
272,bor,56.36,44.07,12.0,91.0,100.0,4.27,RU
273,plaisance-du-touch,43.57,1.3,48.0,93.0,20.0,3.36,FR
274,ancud,-41.87,-73.82,60.8,93.0,90.0,10.29,CL
275,flin flon,54.77,-101.86,9.81,96.0,7.0,3.36,CA
276,jiaocheng,24.68,116.14,50.63,58.0,78.0,5.86,CN
277,nadym,65.53,72.52,-4.0,95.0,100.0,16.46,RU
279,airai,-8.93,125.41,83.08,61.0,100.0,5.12,TL
280,islamkot,24.7,70.18,60.49,64.0,0.0,7.85,PK
281,mutis,6.23,-77.4,80.19,76.0,8.0,3.13,CO
282,tabuk,17.42,121.44,76.98,72.0,3.0,6.69,PH
284,dicabisagan,17.08,122.42,79.95,64.0,2.0,3.71,PH
285,constitucion,-35.33,-72.42,58.46,87.0,0.0,8.75,CL
286,itarema,-2.92,-39.92,76.59,90.0,100.0,3.44,BR
287,norman wells,65.28,-126.83,-18.4,68.0,75.0,4.7,CA
288,vostok,46.49,135.88,27.48,74.0,5.0,1.77,RU
289,puerto rondon,6.28,-71.1,81.72,57.0,0.0,5.55,CO
290,gamboma,-1.88,15.86,75.38,71.0,100.0,1.72,CG
291,puerto escondido,15.85,-97.07,80.6,83.0,40.0,6.93,MX
292,wasilla,61.58,-149.44,8.01,70.0,90.0,4.7,US
293,tiznit,29.58,-9.5,54.09,35.0,100.0,4.5,MA
294,paracuru,-3.41,-39.03,82.4,83.0,40.0,3.36,BR
295,peniche,39.36,-9.38,57.99,100.0,75.0,10.29,PT
296,lambarene,-0.7,10.24,75.11,94.0,0.0,1.39,GA
297,nantucket,41.28,-70.1,41.0,75.0,90.0,9.17,US
298,gumdag,39.21,54.59,38.32,66.0,0.0,6.17,TM
299,nynashamn,58.9,17.95,42.01,93.0,96.0,4.7,SE
300,deputatskiy,69.3,139.9,-32.28,69.0,18.0,6.44,RU
301,sovetskaya gavan,48.97,140.29,13.84,77.0,0.0,7.81,RU
302,cidreira,-30.18,-50.21,74.3,77.0,77.0,12.68,BR
303,touros,-5.2,-35.46,80.6,83.0,20.0,6.93,BR
304,quartucciu,39.25,9.18,54.0,93.0,20.0,2.24,IT
305,mtwara,-10.27,40.18,77.0,94.0,40.0,5.82,TZ
306,muravlenko,63.79,74.52,0.19,96.0,100.0,17.2,RU
307,gizo,-8.1,156.84,84.13,72.0,58.0,7.52,SB
308,ipaba,-19.41,-42.42,75.2,94.0,75.0,6.93,BR
309,kamenka,51.32,42.77,33.01,95.0,100.0,12.01,RU
310,kamaishi,39.27,141.88,35.6,64.0,75.0,6.93,JP
311,santa lucia,27.91,-15.54,60.8,72.0,20.0,11.41,ES
312,petropavlovka,50.61,105.32,5.18,81.0,84.0,0.54,RU
313,nishihara,26.18,127.76,66.2,59.0,75.0,13.87,JP
314,corn island,12.17,-83.04,79.59,68.0,0.0,8.21,NI
315,dogondoutchi,13.64,4.03,63.93,8.0,0.0,9.42,NE
316,lac du bonnet,50.25,-96.06,17.01,97.0,46.0,2.06,CA
317,mount gambier,-37.83,140.77,73.4,46.0,82.0,9.17,AU
318,kandrian,-6.22,149.55,80.26,87.0,79.0,9.17,PG
319,arua,3.02,30.91,73.87,38.0,100.0,2.82,UG
320,marawi,8.0,124.29,82.0,83.0,25.0,5.99,PH
321,saint george,37.1,-113.58,44.6,48.0,1.0,8.05,US
322,klaksvik,62.23,-6.59,33.8,72.0,63.0,1.12,FO
323,alofi,-19.06,-169.92,86.0,74.0,20.0,9.17,NU
324,acarau,-2.89,-40.12,76.59,90.0,100.0,3.44,BR
325,ambulu,-8.35,113.61,82.35,80.0,0.0,5.06,ID
326,tautira,-17.73,-149.15,86.0,70.0,75.0,3.36,PF
327,takoradi,4.88,-1.76,75.96,91.0,3.0,1.48,GH
328,sigiriya,7.95,80.74,74.28,76.0,100.0,10.29,LK
329,bayonet point,28.33,-82.68,64.99,93.0,90.0,4.65,US
330,goderich,43.75,-81.72,35.01,83.0,100.0,1.01,CA
331,ciudad bolivar,8.12,-63.55,81.18,67.0,0.0,12.97,VE
332,saint-pierre,-21.34,55.48,69.8,68.0,1.0,9.17,RE
333,waddan,29.16,16.14,52.79,76.0,0.0,1.43,LY
334,price,39.6,-110.81,33.8,55.0,75.0,12.75,US
335,kalino,58.25,57.61,-14.94,99.0,100.0,5.99,RU
336,waidhofen,48.58,11.33,42.01,93.0,75.0,2.24,DE
337,bafra,41.57,35.91,42.8,70.0,100.0,4.7,TR
338,almonte,37.26,-6.52,55.4,93.0,90.0,2.24,ES
340,ostrovnoy,68.05,39.51,3.72,99.0,68.0,6.15,RU
341,nosy varika,-20.58,48.53,71.51,80.0,44.0,2.01,MG
342,khanpur,28.65,70.66,54.0,76.0,7.0,8.88,PK
343,belaya gora,68.53,146.42,-29.47,98.0,85.0,4.7,RU
344,lincoln,40.8,-96.67,33.8,96.0,90.0,8.05,US
346,acapulco,16.86,-99.89,80.6,69.0,20.0,5.82,MX
347,narsaq,60.92,-46.05,12.2,61.0,80.0,8.05,GL
348,maniitsoq,65.42,-52.9,8.35,89.0,100.0,16.06,GL
349,pergamino,-33.89,-60.57,68.0,56.0,0.0,1.01,AR
351,phan thiet,10.93,108.1,83.57,46.0,53.0,6.82,VN
353,saldanha,-33.01,17.94,61.83,82.0,43.0,16.82,ZA
354,saint-georges,12.06,-61.75,77.0,83.0,27.0,5.82,GD
356,sechura,-5.56,-80.82,74.23,84.0,57.0,6.11,PE
357,kungurtug,50.6,97.52,8.33,72.0,0.0,2.64,RU
358,caluquembe,-13.78,14.68,60.28,94.0,99.0,1.77,AO
359,ust-barguzin,53.45,108.98,7.16,88.0,0.0,5.61,RU
360,port-cartier,50.03,-66.87,14.0,66.0,90.0,13.87,CA
361,lata,40.16,-8.33,59.0,100.0,75.0,9.17,PT
362,port-gentil,-0.72,8.78,82.67,76.0,3.0,7.07,GA
363,khandyga,62.67,135.6,-10.43,95.0,100.0,1.1,RU
364,cedar city,37.68,-113.06,37.4,55.0,1.0,5.82,US
365,hobyo,5.35,48.53,76.6,75.0,100.0,19.69,SO
366,kruisfontein,-34.0,24.73,55.47,85.0,45.0,4.59,ZA
367,novokuznetsk,53.76,87.11,26.29,94.0,98.0,10.63,RU
368,melo,-32.37,-54.18,58.93,87.0,0.0,8.14,UY
369,san ignacio,17.16,-89.07,78.8,78.0,15.0,4.7,BZ
370,mayahi,13.96,7.67,60.44,10.0,0.0,10.76,NE
371,cassilandia,-19.11,-51.73,72.57,74.0,11.0,2.04,BR
372,pundaguitan,6.37,126.17,82.94,76.0,6.0,7.85,PH
373,kudahuvadhoo,2.67,72.89,81.21,72.0,80.0,10.51,MV
374,izumo,35.37,132.77,48.2,87.0,75.0,3.36,JP
375,marquette,46.53,-87.63,27.0,86.0,90.0,5.82,US
376,calvinia,-31.47,19.78,62.29,26.0,92.0,0.92,ZA
377,cayenne,4.93,-52.33,78.8,88.0,75.0,4.7,GF
378,paamiut,61.99,-49.67,11.95,64.0,0.0,17.98,GL
379,mareeba,-17.0,145.43,82.99,88.0,90.0,8.05,AU
380,marsa matruh,31.35,27.25,50.0,81.0,63.0,5.82,EG
381,sharjah,25.36,55.4,57.2,76.0,20.0,5.82,AE
382,barra patuca,15.8,-84.28,78.55,77.0,97.0,10.42,HN
383,palmer,42.16,-72.33,41.0,64.0,90.0,10.29,US
384,maltahohe,-24.83,16.98,66.58,20.0,0.0,8.41,NA
385,mossendjo,-2.95,12.73,71.78,97.0,100.0,1.16,CG
386,viedma,-40.81,-63.0,69.6,33.0,84.0,23.04,AR
387,martaban,16.53,97.61,70.61,60.0,0.0,7.38,MM
388,asau,46.43,26.4,36.0,86.0,47.0,3.58,RO
389,tarime,-1.35,34.37,66.2,93.0,75.0,2.13,TZ
391,santa,17.49,120.43,80.06,59.0,49.0,4.97,PH
392,pachperwa,27.52,82.65,58.3,73.0,0.0,7.09,IN
393,bubaque,11.28,-15.83,77.67,72.0,72.0,10.87,GW
394,mnogovershinnyy,53.94,139.92,12.94,80.0,0.0,1.39,RU
395,balaghat,21.8,80.18,67.75,48.0,31.0,6.6,IN
396,hami,42.8,93.45,12.42,73.0,24.0,1.7,CN
397,amazar,53.86,120.88,5.61,87.0,0.0,3.09,RU
398,brae,60.4,-1.35,41.0,86.0,65.0,11.41,GB
399,tandil,-37.32,-59.13,50.14,74.0,0.0,11.03,AR
400,necochea,-38.55,-58.74,55.0,82.0,0.0,4.0,AR
401,pacific grove,36.62,-121.92,57.2,82.0,1.0,6.93,US
402,sao joao da barra,-21.64,-41.05,76.26,90.0,100.0,13.98,BR
403,kajaani,64.17,27.67,12.2,85.0,90.0,16.11,FI
404,draguignan,43.53,6.47,50.0,100.0,99.0,2.24,FR
405,tulun,54.56,100.58,5.63,94.0,21.0,5.82,RU
406,lixourion,38.2,20.43,57.78,70.0,0.0,18.37,GR
407,uvat,59.14,68.9,-1.82,96.0,100.0,6.71,RU
408,abu dhabi,24.47,54.37,62.6,63.0,20.0,5.82,AE
409,makakilo city,21.35,-158.09,82.4,57.0,20.0,10.29,US
410,fernley,39.61,-119.25,51.8,39.0,40.0,12.37,US
411,banda aceh,5.56,95.32,81.03,76.0,98.0,5.37,ID
412,pontianak,-0.03,109.33,80.6,88.0,40.0,3.11,ID
413,isangel,-19.55,169.27,87.8,62.0,40.0,11.41,VU
414,concordia,-31.39,-58.02,73.0,68.0,0.0,3.0,AR
415,shetpe,44.17,52.12,33.03,88.0,50.0,2.53,KZ
416,sinnamary,5.38,-52.95,79.99,81.0,98.0,15.14,GF
417,haines junction,60.75,-137.51,9.05,93.0,68.0,7.45,CA
419,kostino,58.91,53.27,-17.68,99.0,67.0,5.06,RU
420,rankovce,42.17,22.12,37.4,100.0,75.0,3.33,MK
421,faanui,-16.48,-151.75,83.16,73.0,66.0,10.45,PF
422,margate,51.38,1.39,44.01,93.0,75.0,12.75,GB
423,umtata,-31.59,28.78,55.4,93.0,72.0,2.24,ZA
424,melilla,35.29,-2.94,57.2,58.0,0.0,5.82,ES
